Disciplina,Hierarquia,Nivel,Indice,Quantidade,Quantidade_Caderno
Administração Financeira e Orçamentária,15,1,Plano de Contas (PCASP),445,445
Administração Financeira e Orçamentária,16,1,Escrituração Contábil Pública,242,242
Administração Financeira e Orçamentária,17,1,Demonstrações Contábeis Aplicadas ao Setor Público,1096,1096
Administração Financeira e Orçamentária,17.01,2,"Introdução às DCASP (Parte V, Capítulo 1 do MCASP e NBC TSP 11)",15,15
Administração Financeira e Orçamentária,17.02,2,Balanço Orçamentário (MCASP e NBC TSP 13),240,240
Administração Financeira e Orçamentária,17.03,2,Balanço Financeiro,190,190
Administração Financeira e Orçamentária,17.04,2,Balanço Patrimonial (AFO e CPU),211,211
Administração Financeira e Orçamentária,17.05,2,Demonstração das Variações Patrimoniais (DVP),320,320
Administração Financeira e Orçamentária,17.06,2,Demonstração de Fluxo de Caixa (MCASP e NBC TSP 12),51,51
Administração Financeira e Orçamentária,17.07,2,Demonstração das Mutações do Patrimônio Líquido (AFO e CPU),9,9
Administração Financeira e Orçamentária,17.08,2,Notas Explicativas (AFO e CPU),9,9
Administração Financeira e Orçamentária,17.09,2,Consolidação das Demonstrações Contábeis,25,25
Administração Financeira e Orçamentária,17.10,2,Balancete,8,8
Administração Financeira e Orçamentária,17.11,2,"Tópicos Mesclados de Demonstrações Contábeis (MCASP, NBC TSP e Lei nº 4.320/1964)",18,18
Administração Financeira e Orçamentária,18,1,Custos no Setor Público,120,120
Administração Financeira e Orçamentária,18.01,2,NBC T 16.11 e MIC 1ª Edição - Sistema de Informação de Custos do Setor Público,84,84
Administração Financeira e Orçamentária,18.02,2,NBC TSP 34 - Custos no Setor Público,23,23
Administração Financeira e Orçamentária,18.03,2,Demais Temas sobre Custos no Setor Público,13,13
Administração Financeira e Orçamentária,19,1,Lei de Responsabilidade Fiscal - LRF (Lei Complementar nº 101/2000),1967,1967
Administração Financeira e Orçamentária,19.01,2,Disposições Preliminares (arts. 1º e 2º da LRF),137,137
Administração Financeira e Orçamentária,19.02,2,Planejamento e Orçamento Público (arts. 3º a 10 da LRF),422,422
Administração Financeira e Orçamentária,19.03,2,Da Receita Pública (arts. 11 a 14 da LRF),181,181
Administração Financeira e Orçamentária,19.04,2,Da Despesa Pública (arts. 15 a 24 da LRF),332,332
Administração Financeira e Orçamentária,19.04.01,3,Geração de Despesa e Despesa Obrigatória de Caráter Continuado (arts. 15 a 17 da LRF),96,96
Administração Financeira e Orçamentária,19.04.02,3,Despesas com Pessoal e Seguridade Social (arts. 18 a 24 da LRF),236,236
Administração Financeira e Orçamentária,19.05,2,Das Transferências Voluntárias (art. 25 da LRF),62,62
Administração Financeira e Orçamentária,19.06,2,Da Destinação de Recursos para o Setor Privado (arts. 26 a 28 da LRF),41,41
Administração Financeira e Orçamentária,19.07,2,Dívida Pública e Endividamento (arts. 29 a 42 da LRF),294,294
Administração Financeira e Orçamentária,19.07.01,3,"Definições, Limites e Recondução da Dívida (arts. 29 a 31 da LRF)",116,116
Administração Financeira e Orçamentária,19.07.02,3,Operações de Crédito (arts. 32 a 39 da LRF),133,133
Administração Financeira e Orçamentária,19.07.03,3,"Garantia, Contragarantia e Restos a Pagar (arts. 40 a 42 da LRF)",45,45
Administração Financeira e Orçamentária,19.08,2,Gestão Patrimonial (arts. 43 a 47 da LRF),38,38
Administração Financeira e Orçamentária,19.09,2,"Transparência, Controle e Fiscalização (arts. 48 a 59 da LRF)",321,321
Administração Financeira e Orçamentária,19.09.01,3,Transparência da Gestão Fiscal (arts. 48 e 49 da LRF),79,79
Administração Financeira e Orçamentária,19.09.02,3,Escrituração e Consolidação (arts. 50 e 51 da LRF),56,56
Administração Financeira e Orçamentária,19.09.03,3,Relatório Resumido da Execução Orçamentária - RREO (arts. 52 e 53 da LRF),56,56
Administração Financeira e Orçamentária,19.09.04,3,Relatório de Gestão Fiscal - RGF (arts. 54 e 55 da LRF),51,51
Administração Financeira e Orçamentária,19.09.05,3,Controle da Gestão Fiscal (arts. 56 a 59 da LRF),79,79
Administração Financeira e Orçamentária,19.10,2,Disposições Finais e Transitórias (arts. 60 a 75 da LRF),35,35
Administração Financeira e Orçamentária,19.11,2,Temas Mesclados sobre a LRF,104,104
Administração Financeira e Orçamentária,20,1,Manual de Demonstrativos Fiscais,27,27
Administração Financeira e Orçamentária,21,1,Precatórios,77,77
Administração Financeira e Orçamentária,22,1,"Procedimentos Contábeis Específicos (RPPS, FUNDEB etc.)",14,14
Administração Financeira e Orçamentária,23,1,Índices e Análise de Demonstração no Setor Público,11,11
Administração Financeira e Orçamentária,24,1,Lei nº 10.028/2000 - Infração Administrativa Contra as Leis de Finanças Públicas,15,15
Administração Financeira e Orçamentária,25,1,Lei nº 10.522/2002 - CADIN,10,10
Administração Financeira e Orçamentária,26,1,Decreto 2.829/1998: Normas para Elaboração e Execução do PPA e da LOA,4,4
Administração Financeira e Orçamentária,27,1,Normas Estaduais sobre Direito Financeiro e Contabilidade Pública,53,53
Administração Financeira e Orçamentária,27.01,2,Normas sobre Direito Financeiro e Contabilidade Pública do AC,1,1
Administração Financeira e Orçamentária,27.02,2,Normas sobre Direito Financeiro e Contabilidade Pública do CE,20,20
Administração Financeira e Orçamentária,27.03,2,Normas sobre Direito Financeiro e Contabilidade Pública do DF,21,21
Administração Financeira e Orçamentária,27.03.01,3,Lei Complementar Distrital nº 292/2000 - Condições para Instituição e Funcionamento de Fundos (DF),1,1
Administração Financeira e Orçamentária,27.03.02,3,"Decreto Distrital nº 32.598/2010 - Planejamento, Orçamento, Finanças, Patrimônio e Contabilidade",9,9
Administração Financeira e Orçamentária,27.03.03,3,Outras Normas sobre Direito Financeiro e Contabilidade Pública do DF,11,11
Administração Financeira e Orçamentária,27.04,2,Normas sobre Direito Financeiro e Contabilidade Pública do ES,2,2
Administração Financeira e Orçamentária,27.05,2,Normas sobre Direito Financeiro e Contabilidade Pública de MG,3,3
Administração Financeira e Orçamentária,27.05.01,3,Decreto Estadual nº 37.924/1996 - Execução Orçamentária e Financeira (MG),2,2
Administração Financeira e Orçamentária,27.05.02,3,Outras Normas sobre Direito Financeiro e Contabilidade Pública de MG,1,1
Administração Financeira e Orçamentária,27.06,2,Normas sobre Direito Financeiro e Contabilidade Pública do PA,1,1
Administração Financeira e Orçamentária,27.07,2,Normas sobre Direito Financeiro e Contabilidade Pública do PE,3,3
Administração Financeira e Orçamentária,27.07.01,3,Lei Estadual nº 7.741/1978 - Código de Administração Financeira (PE),2,2
Administração Financeira e Orçamentária,27.07.02,3,Outras Normas sobre Direito Financeiro e Contabilidade Pública do PE,1,1
Administração Financeira e Orçamentária,27.08,2,Normas sobre Direito Financeiro e Contabilidade Pública do PI,1,1
Administração Financeira e Orçamentária,27.09,2,Normas sobre Direito Financeiro e Contabilidade Pública do RJ,1,1
Administração Financeira e Orçamentária,27.09.01,3,Outras Normas sobre Direito Financeiro e Contabilidade Pública do RJ,1,1
Administração Financeira e Orçamentária,28,1,Normas Municipais sobre Direito Financeiro e Contabilidade Pública,9,9
Administração Financeira e Orçamentária,29,1,Tópicos Mesclados e Demais Temas da Lei nº 4.320/1964,81,81
Administração Financeira e Orçamentária,30,1,Demais Temas de Contabilidade Pública,74,74
Administração Geral e Pública,,0,Administração Geral e Pública,14474,14474
Administração Geral e Pública,01,1,Introdução à Administração,331,331
Administração Geral e Pública,01.01,2,Organização (Introdução à Administração),69,69
Administração Geral e Pública,01.02,2,Administração,14,14
Administração Geral e Pública,01.03,2,Administrador,38,38
Administração Geral e Pública,01.04,2,Processo Organizacional e Funções Administrativas,142,142
Administração Geral e Pública,01.05,2,"Eficiência, Eficácia e Efetividade",68,68
Administração Geral e Pública,02,1,Teorias Administrativas,698,698
Administração Geral e Pública,02.01,2,"Introdução (Conceitos, Evolução Histórica, Princípios, Abordagens Prescritivas e Normativas)",12,12
Administração Geral e Pública,02.02,2,Abordagem Clássica da Administração,138,138
Administração Geral e Pública,02.02.01,3,Aspectos Gerais e Origens,1,1
Administração Geral e Pública,02.02.02,3,Escola da Administração Científica,86,86
Administração Geral e Pública,02.02.03,3,Escola da Teoria Clássica,51,51
Administração Geral e Pública,02.03,2,Teoria das Relações Humanas (Abordagem Humanística da Administração),52,52
Administração Geral e Pública,02.04,2,Abordagem Neoclássica da Administração,56,56
Administração Geral e Pública,02.04.01,3,Teoria Neoclássica,9,9
Administração Geral e Pública,02.04.02,3, Administração por Objetivos (APO),47,47
Administração Geral e Pública,02.05,2,Teoria da Burocracia,66,66
Administração Geral e Pública,02.06,2,Teoria Estruturalista (Abordagem Estruturalista da Administração),12,12
Administração Geral e Pública,02.07,2,Teoria Comportamental,25,25
Administração Geral e Pública,02.08,2,Teoria do Desenvolvimento Organizacional e Mudança Organizacional,150,150
Administração Geral e Pública,02.08.01,3, Teoria do Desenvolvimento Organizacional,32,32
Administração Geral e Pública,02.08.02,3,Mudança Organizacional,118,118
Administração Geral e Pública,02.09,2,Teoria dos Sistemas (Abordagem Sistêmica da Administração),120,120
Administração Geral e Pública,02.10,2,Teoria Contingencial (Abordagem Contingencial da Administração),46,46
Administração Geral e Pública,02.11,2,O Papel do Homem nas Diversas Teorias,5,5
Administração Geral e Pública,02.12,2,Tópico Mesclado de Teorias Administrativas,16,16
Administração Geral e Pública,03,1,Convergências e Divergências entre a Gestão Pública e a Privada,89,89
Administração Geral e Pública,03.01,2,Convergências entre a Gestão Pública e a Privada,27,27
Administração Geral e Pública,03.02,2,Divergências entre a Gestão Pública e a Privada,62,62
Administração Geral e Pública,04,1,"Governabilidade, Governança e Intermediação de Interesses",244,244
Administração Geral e Pública,04.01,2,Governabilidade,25,25
Administração Geral e Pública,04.02,2,Governança Corporativa,124,124
Administração Geral e Pública,04.03,2,Governança Pública,77,77
Administração Geral e Pública,04.04,2,Intermediação de Interesses,12,12
Administração Geral e Pública,04.05,2,Decreto nº 9.203/2017 - Política de Governança da Administração Pública Federal,2,2
Administração Geral e Pública,04.06,2,Decreto nº 10.160/2019 - Governo Aberto,4,4
Administração Geral e Pública,05,1,Accountability e Transparência  ,107,107
Administração Geral e Pública,06,1,Governo Eletrônico,55,55
Administração Geral e Pública,07,1,Modelos Teóricos de Gestão Pública,454,454
Administração Geral e Pública,07.01,2,Administração Patrimonialista,52,52
Administração Geral e Pública,07.02,2,Administração Burocrática,155,155
Administração Geral e Pública,07.03,2,Administração Gerencial (Nova Gestão Pública ou Modelo Pós-Burocrático),238,238
Administração Geral e Pública,07.04,2,Administração Societal,1,1
Administração Geral e Pública,07.05,2,Tópico Mesclado de Modelos Teóricos de Gestão Pública,8,8
Administração Geral e Pública,08,1,Evolução da APU no Brasil,468,468
Administração Geral e Pública,08.01,2,Patrimonialismo no Brasil,19,19
Administração Geral e Pública,08.02,2,A Reforma Burocrática no Brasil,194,194
Administração Geral e Pública,08.03,2,A Reforma Gerencial no Brasil,255,255
Administração Geral e Pública,09,1,Processo de Planejamento,1664,1664
Administração Geral e Pública,09.01,2,"Introdução ao Processo de Planejamento (Diretrizes, Princípios, Características, Etapas, Níveis)",204,204
Administração Geral e Pública,09.02,2,Planejamento Estratégico,317,317
Administração Geral e Pública,09.03,2, Intenção Estratégica ou Desenvolvimento Institucional,104,104
Administração Geral e Pública,09.04,2,Diagnóstico de Ambiente Organizacional - Matriz SWOT,226,226
Administração Geral e Pública,09.05,2,Matriz GUT,26,26
Administração Geral e Pública,09.06,2,Estratégia e Vantagem Competitiva,245,245
Administração Geral e Pública,09.07,2,Planejamento baseado em Cenários,16,16
Administração Geral e Pública,09.08,2,Indicadores de Desempenho,141,141
Administração Geral e Pública,09.09,2,Balanced Scorecard (BSC),239,239
Administração Geral e Pública,09.10,2,Redes e Alianças,22,22
Administração Geral e Pública,09.11,2,Planejamento Tático,36,36
Administração Geral e Pública,09.12,2,Planejamento Operacional,39,39
Administração Geral e Pública,09.13,2,Planejamento e Estratégia no Setor Público,40,40
Administração Geral e Pública,09.14,2,Objetivos-Chaves para Resultados (OKR),9,9
Administração Geral e Pública,10,1,Processo de Organização,840,840
Administração Geral e Pública,10.01,2,"Desenho Organizacional (Conceitos, Tipos, Centralização e Descentralização)",480,480
Administração Geral e Pública,10.02,2,Departamentalização (Conceitos e Tipos),239,239
Administração Geral e Pública,10.03,2,"Organização, Sistemas e Métodos (OSM)",121,121
Administração Geral e Pública,10.03.01,3,Noções Introdutórias (OSM),16,16
Administração Geral e Pública,10.03.02,3,Representações Gráficas (OSM),43,43
Administração Geral e Pública,10.03.03,3,Arranjo Físico ou Layout (OSM),21,21
Administração Geral e Pública,10.03.04,3,Técnicas de Levantamento de Dados e Informações (OSM),16,16
Administração Geral e Pública,10.03.05,3,Formulários e Manuais Administrativos,25,25
Administração Geral e Pública,11,1,Processo de Direção,668,668
Administração Geral e Pública,11.01,2,Introdução ao Processo de Direção (Conceito e Características),10,10
Administração Geral e Pública,11.02,2,Liderança,400,400
Administração Geral e Pública,11.03,2,Gestão de Conflitos,246,246
Administração Geral e Pública,11.04,2,Inteligência Emocional,12,12
Administração Geral e Pública,12,1,Processo de Controle e Avaliação,175,175
Administração Geral e Pública,13,1,Comportamento Organizacional,1220,1220
Administração Geral e Pública,13.01,2, Introdução ao Comportamento Organizacional (Definição e Características),132,132
Administração Geral e Pública,13.02,2,Clima Organizacional,76,76
Administração Geral e Pública,13.03,2,Cultura Organizacional,265,265
Administração Geral e Pública,13.04,2,Motivação,340,340
Administração Geral e Pública,13.05,2,Delegação e Empowerment,63,63
Administração Geral e Pública,13.06,2,Grupos e Equipes de Trabalho,344,344
Administração Geral e Pública,14,1,Comunicação,337,337
Administração Geral e Pública,14.01,2,Comunicação no Processo de Gestão,310,310
Administração Geral e Pública,14.02,2,Comunicação na Gestão Pública e Gestão de Redes Organizacionais,27,27
Administração Geral e Pública,15,1,Processo Decisório (Tomada de Decisão),167,167
Administração Geral e Pública,16,1,"Gestão por Processos (BPM CBOK, Ciclo PDCA, 6 Sigma etc.)",686,686
Administração Geral e Pública,17,1,Gestão da Qualidade,1568,1568
Administração Geral e Pública,17.01,2,"Conceito, Princípios, Fundamentos e Evolução da Qualidade",297,297
Administração Geral e Pública,17.02,2,Principais Teóricos - Gurus da Qualidade,32,32
Administração Geral e Pública,17.03,2,Normas ISO (Gestão da Qualidade),101,101
Administração Geral e Pública,17.03.01,3,NBR ISO 9000 - Sistemas de Gestão da Qualidade - Fundamentos e Vocabulário,45,45
Administração Geral e Pública,17.03.02,3,NBR ISO 9001 - Sistemas de Gestão da Qualidade - Requisitos,40,40
Administração Geral e Pública,17.03.03,3,Outros Assuntos e Tópicos Mesclados de Normas ISO,16,16
Administração Geral e Pública,17.04,2,Métodos e Ferramentas,391,391
Administração Geral e Pública,17.04.01,3,Diagrama de Causa e Efeito - Ishikawa,58,58
Administração Geral e Pública,17.04.02,3,Plano 5W2h,11,11
Administração Geral e Pública,17.04.03,3,Método 5S,8,8
Administração Geral e Pública,17.04.04,3,Diagrama de Pareto,42,42
Administração Geral e Pública,17.04.05,3,14 Princípios de Deming,46,46
Administração Geral e Pública,17.04.06,3,Benchmarking,42,42
Administração Geral e Pública,17.04.07,3,Brainstorming e Brainwriting,16,16
Administração Geral e Pública,17.04.08,3,Reengenharia,74,74
Administração Geral e Pública,17.04.09,3,Outros Métodos e Ferramentas,79,79
Administração Geral e Pública,17.04.10,3,Tópico Mesclado de Métodos e Ferramentas,15,15
Administração Geral e Pública,17.05,2,Modelo de Excelência Gerencial (FNQ),49,49
Administração Geral e Pública,17.06,2,"Excelência e Qualidade nos Serviços Públicos (Gespública, MEGP)",275,275
Administração Geral e Pública,17.07,2,Gestão para Resultados,106,106
Administração Geral e Pública,17.08,2,Qualidade no Atendimento ao Público,308,308
Administração Geral e Pública,17.09,2,Gerenciamento pelas Diretrizes,9,9
Administração Geral e Pública,18,1,Gestão do Conhecimento,153,153
Administração Geral e Pública,19,1,Educação Corporativa,186,186
Administração Geral e Pública,20,1,"Coaching, Tutoria (Mentoring) e Aconselhamento (Counseling)",17,17
Administração Geral e Pública,21,1,Empreendedorismo Governamental,62,62
Administração Geral e Pública,22,1,Administração da Produção e Operações,60,60
Administração Geral e Pública,23,1,Marketing,416,416
Administração Geral e Pública,24,1,Gestão de Pessoas,2522,2522
Administração Geral e Pública,24.01,2,Relações de Equilíbrio entre Indivíduo e Organização,78,78
Administração Geral e Pública,24.02,2,Gerenciamento da Diversidade nas Organizações,10,10
Administração Geral e Pública,24.03,2,A Área de Gestão de Pessoas,111,111
Administração Geral e Pública,24.04,2,Modelos Básicos de Gestão de Pessoas,26,26
Administração Geral e Pública,24.05,2,Evolução e Tendências da Área de Gestão de Pessoas no Cenário Mundial,45,45
Administração Geral e Pública,24.06,2,Evolução da Área de Gestão de Pessoas no Contexto Nacional,10,10
Administração Geral e Pública,24.07,2,"Objetivos, Funções e Desafios da Área de Gestão de Pessoas",103,103
Administração Geral e Pública,24.08,2,Gestão Estratégica de Pessoas e Planejamento Estratégico de Pessoas,109,109
Administração Geral e Pública,24.09,2,Princípio da Responsabilidade de Linha e Função de Staff,29,29
Administração Geral e Pública,24.10,2,Hierarquia de Decisões na área de Gestão de Pessoas,14,14
Administração Geral e Pública,24.11,2,Terceirização,22,22
Administração Geral e Pública,24.12,2,Subsistemas de Gestão de Pessoas,78,78
Administração Geral e Pública,24.13,2,Recrutamento (Gestão de Pessoas),189,189
Administração Geral e Pública,24.14,2,Seleção (Gestão de Pessoas),180,180
Administração Geral e Pública,24.15,2,Análise e Desenho de Cargos,169,169
Administração Geral e Pública,24.16,2,Desempenho,462,462
Administração Geral e Pública,24.17,2,Remuneração (Administração Geral),50,50
Administração Geral e Pública,24.18,2,Benefícios e Incentivos,20,20
Administração Geral e Pública,24.19,2,"Treinamento, Desenvolvimento e Educação (TDeE)",410,410
Administração Geral e Pública,24.20,2,Qualidade de Vida no Trabalho (QVT),93,93
Administração Geral e Pública,24.21,2,Recursos Humanos no Setor Público,242,242
Administração Geral e Pública,24.21.01,3,Administração de Pessoas no Setor Público,156,156
Administração Geral e Pública,24.21.02,3,Decreto nº 9.991/2019 - Política Nacional de Desenvolvimento de Pessoas,44,44
Administração Geral e Pública,24.21.03,3,Decreto nº 7.133/2010 - Avaliação de Desempenho do Poder Executivo Federal,18,18
Administração Geral e Pública,24.21.04,3,SIAPE,24,24
Administração Geral e Pública,24.22,2,Organização do Trabalho e do Tempo,24,24
Administração Geral e Pública,24.23,2,Sistemas de Informações Gerenciais (SIG),48,48
Administração Geral e Pública,25,1,Gestão por Competências,326,326
Administração Geral e Pública,26,1,Gestão da Inovação e Empreendedorismo,205,205
Administração Geral e Pública,26.01,2,Conceitos e Teorias de Inovação e Empreendorismo,180,180
Administração Geral e Pública,26.02,2,Intraempreendedorismo,2,2
Administração Geral e Pública,26.03,2,Design Thinking,21,21
Administração Geral e Pública,26.04,2,Pensamento Computacional,1,1
Administração Geral e Pública,26.05,2,Manual de Oslo,1,1
Administração Geral e Pública,27,1,Coordenação,1,1
Administração Geral e Pública,28,1,Administração Financeira,286,286
Administração Geral e Pública,29,1,Responsabilidade Social Corporativa,79,79
Administração Geral e Pública,30,1,Processos Participativos de Gestão Pública,90,90
Administração Geral e Pública,31,1,Ciclo de Gestão,3,3
Administração Geral e Pública,32,1,Decreto nº 9.739/2019 - Aprimoramento da Administração Federal e SIORG,9,9
Administração Geral e Pública,33,1,Gestão Hospitalar,148,148
Administração Geral e Pública,34,1,Outros Temas e Tópicos Variados de Administração,81,81
Administração Geral e Pública,35,1,Novas Tecnologias e Tendências na Administração,59,59
Administração de Recursos Materiais,,0,Administração de Recursos Materiais,1911,1911
Administração de Recursos Materiais,1.0,2,Noções de Administração de Materiais,61,61
Administração de Recursos Materiais,2.0,2,Classificação de Materiais,161,161
Administração de Recursos Materiais,2.01,2,Noções de Classificação de Materiais,64,64
Administração de Recursos Materiais,2.02,2,Etapas da Classificação de Materiais,21,21
Administração de Recursos Materiais,2.03,2,Tipos de Classificação e Identificação de Materiais,76,76
